 ,'&','(',')','*','+',"','",'-','/',';','<','<=','<>','=','==','>','>=','char','charType','else','float','floatType','id','if','int','intType','return','start','void','while','{','|','}',$end,AssignStmnt,CondStmnt,DataType,DeclStmnt,FuncDataType,FunctCall,IdList,IdListother,LoopStmnt,ParamList,RetStmnt,and,any,argument,arguments,arithemticOrBooleanexpr,arithmeticexpr,const,div,eq,expr,factor,function,functions,ge,gt,le,logicalop,lt,minus,mult,ne,newexpr2,newexpr3,newexpr4,newexpr5,or,plus,program,program1,relationalop,startprog,stmnt,stmnts,term,term1
62,r38,s67,r38,r38,r38,r38,r38,r38,r38,r38,r38,r38,,r38,r38,r38,,,,,,,,,,,,,,,r38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,,s60,,,,,,,,,,,,,,,,s44,,,s45,s62,,,s47,,,,,,,,,,,,,,,,,,,,,53,,,54,55,42,,,106,57,,,,,,,,,,,,,,,,,,,,,,,58,59
64,,,,,,,,,,,,,,,,,r39,,,r39,,,,r39,,,r39,r39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,,,,,,,,,,,,,,,,,r7,,,r7,,r7,r7,r7,,r7,,,r7,,,r7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,,,,,,,,,,,,,,,,,r9,,,r9,,r9,r9,r9,,r9,,,r9,,,r9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,,s60,r19,,,,,,,,,,,,,,,s44,,,s45,s62,,,s47,,,,,,,,,,,,,,,,,,107,,,53,,,54,55,42,,,71,57,,,,,,,,,,,,,,,,,,,,,,,58,59
68,,,,,,,,,,,,,,,,,,,,,,s108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,,,,,,,,,,,,,,,,,r8,,,r8,,r8,r8,r8,,r8,,,r8,,,r8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,,,s109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,,,r18,,,s110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
